"","locusId","sysName","scaffoldId","begin","end","name","desc","WeightedFit","WeightedVar","Weightedsdev","Cdt"
"1",14146,"b0001",7023,190,255,"thrL","thr operon leader peptide (NCBI)",-0.059232287501895,0.00348634135280472,0.12798112396463,"Condition1"
"2",14146,"b0001",7023,190,255,"thrL","thr operon leader peptide (NCBI)",-0.387425085890969,0.0859592520033273,0.19644453485341,"Condition2"
"3",14146,"b0001",7023,190,255,"thrL","thr operon leader peptide (NCBI)",-0.592102704523042,0.125131312915632,0.142692162368654,"Condition3"
"4",14146,"b0001",7023,190,255,"thrL","thr operon leader peptide (NCBI)",-0.422840238572416,0.0632154554200756,0.0283276199243562,"Condition4"
"5",14146,"b0001",7023,190,255,"thrL","thr operon leader peptide (NCBI)",-0.407252750322791,0.0345319148665608,0.191238802626079,"Condition5"
"6",14147,"b0002",7023,337,2799,"thrA","bifunctional aspartokinase I/homeserine dehydrogenase I (NCBI)",-0.291460993610245,0.0568935306703074,0.120789558826693,"Condition1"
"7",14147,"b0002",7023,337,2799,"thrA","bifunctional aspartokinase I/homeserine dehydrogenase I (NCBI)",-1.19882974173087,0.0976001587388997,0.0413598390649291,"Condition2"
"8",14147,"b0002",7023,337,2799,"thrA","bifunctional aspartokinase I/homeserine dehydrogenase I (NCBI)",-1.00765233851584,0.122830635834881,0.0822351355673177,"Condition3"
"9",14147,"b0002",7023,337,2799,"thrA","bifunctional aspartokinase I/homeserine dehydrogenase I (NCBI)",-1.01084480533956,0.0629499805632648,0.0455858154015929,"Condition4"
"10",14147,"b0002",7023,337,2799,"thrA","bifunctional aspartokinase I/homeserine dehydrogenase I (NCBI)",-0.682031292747205,0.075938837878999,0.0349863366942885,"Condition5"
"11",14148,"b0003",7023,2801,3733,"thrB","homoserine kinase (NCBI)",-0.433256115258817,0.0622299607378756,0.155725924858209,"Condition1"
"12",14148,"b0003",7023,2801,3733,"thrB","homoserine kinase (NCBI)",-1.56209773905362,0.0866068566568639,0.0662535666358176,"Condition2"
"13",14148,"b0003",7023,2801,3733,"thrB","homoserine kinase (NCBI)",-1.11220738892068,0.0822579731867397,0.048047829422488,"Condition3"
"14",14148,"b0003",7023,2801,3733,"thrB","homoserine kinase (NCBI)",-1.21521232029088,0.0822612493423061,0.0578084648608917,"Condition4"
"15",14148,"b0003",7023,2801,3733,"thrB","homoserine kinase (NCBI)",-1.41808288419245,0.0944202761673058,0.114197320789231,"Condition5"
